CIC_MEM_VERS = 1.0
CREATION_DATE  = 2017-11-29T08:48:54.000
ORIGINATOR     = CNES

META_START

COMMENT = days (MJD), sec (UTC), angle (deg)

OBJECT_NAME = NIMPH
OBJECT_ID = NIMPH

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = BETA_ANGLE
TIME_SYSTEM = UTC
START_TIME = 2017-11-27T00:00:00.000
STOP_TIME = 2017-11-28T00:00:00.000

META_STOP

58084 4900.00000 -62.12530
58084 4910.00000 -62.12539
58084 4920.00000 -62.12547
58084 4930.00000 -62.12556
58084 4940.00000 -62.12565
58084 4950.00000 -62.12573
58084 4960.00000 -62.12581
58084 4970.00000 -62.12590
58084 4980.00000 -62.12598
58084 4990.00000 -62.12606
58084 5000.00000 -62.12614
58084 5010.00000 -62.12621
58084 5020.00000 -62.12629
58084 5030.00000 -62.12636
58084 5040.00000 -62.12644
58084 5050.00000 -62.12651
58084 5060.00000 -62.12658
58084 5070.00000 -62.12665
58084 5080.00000 -62.12671
58084 5090.00000 -62.12678
58084 5100.00000 -62.12684
58084 5110.00000 -62.12690
58084 5120.00000 -62.12696
58084 5130.00000 -62.12702
58084 5140.00000 -62.12707
58084 5150.00000 -62.12713
58084 5160.00000 -62.12718
58084 5170.00000 -62.12723
58084 5180.00000 -62.12727
58084 5190.00000 -62.12732
58084 5200.00000 -62.12736
58084 5210.00000 -62.12740
58084 5220.00000 -62.12744
58084 5230.00000 -62.12748
58084 5240.00000 -62.12751
58084 5250.00000 -62.12754
58084 5260.00000 -62.12757
58084 5270.00000 -62.12760
58084 5280.00000 -62.12762
58084 5290.00000 -62.12764
58084 5300.00000 -62.12766
58084 5310.00000 -62.12768
58084 5320.00000 -62.12769
58084 5330.00000 -62.12771
58084 5340.00000 -62.12771
58084 5350.00000 -62.12772
58084 5360.00000 -62.12773
58084 5370.00000 -62.12773
58084 5380.00000 -62.12773
58084 5390.00000 -62.12772
58084 5400.00000 -62.12772
58084 5410.00000 -62.12771
58084 5420.00000 -62.12770
58084 5430.00000 -62.12768
58084 5440.00000 -62.12766
58084 5450.00000 -62.12764
58084 5460.00000 -62.12762
58084 5470.00000 -62.12760
58084 5480.00000 -62.12757
58084 5490.00000 -62.12754
58084 5500.00000 -62.12751
58084 5510.00000 -62.12747
58084 5520.00000 -62.12743
58084 5530.00000 -62.12739
58084 5540.00000 -62.12735
58084 5550.00000 -62.12730
58084 5560.00000 -62.12726
58084 5570.00000 -62.12721
58084 5580.00000 -62.12715
58084 5590.00000 -62.12710
58084 5600.00000 -62.12704
58084 5610.00000 -62.12698
58084 5620.00000 -62.12691
58084 5630.00000 -62.12685
58084 5640.00000 -62.12678
58084 5650.00000 -62.12671
58084 5660.00000 -62.12664
58084 5670.00000 -62.12656
58084 5680.00000 -62.12648
58084 5690.00000 -62.12640
58084 5700.00000 -62.12632
58084 5710.00000 -62.12624
58084 5720.00000 -62.12615
58084 5730.00000 -62.12606
58084 5740.00000 -62.12597
58084 5750.00000 -62.12588
58084 5760.00000 -62.12578
58084 5770.00000 -62.12569
58084 5780.00000 -62.12559
58084 5790.00000 -62.12549
58084 5800.00000 -62.12539
58084 5810.00000 -62.12528
58084 5820.00000 -62.12518
58084 5830.00000 -62.12507
58084 5840.00000 -62.12496
58084 5850.00000 -62.12485
58084 5860.00000 -62.12474
58084 5870.00000 -62.12462
58084 5880.00000 -62.12451
58084 5890.00000 -62.12439
58084 5900.00000 -62.12427
58084 5910.00000 -62.12415
58084 5920.00000 -62.12403
58084 5930.00000 -62.12391
58084 5940.00000 -62.12379
58084 5950.00000 -62.12366
58084 5960.00000 -62.12354
58084 5970.00000 -62.12341
58084 5980.00000 -62.12329
58084 5990.00000 -62.12316
58084 6000.00000 -62.12303
58084 6010.00000 -62.12290
58084 6020.00000 -62.12277
58084 6030.00000 -62.12264
58084 6040.00000 -62.12251
58084 6050.00000 -62.12238
58084 6060.00000 -62.12224
58084 6070.00000 -62.12211
58084 6080.00000 -62.12198
58084 6090.00000 -62.12185
58084 6100.00000 -62.12171
58084 6110.00000 -62.12158
58084 6120.00000 -62.12145
58084 6130.00000 -62.12131
58084 6140.00000 -62.12118
58084 6150.00000 -62.12104
58084 6160.00000 -62.12091
58084 6170.00000 -62.12078
58084 6180.00000 -62.12065
58084 6190.00000 -62.12051
58084 6200.00000 -62.12038
58084 6210.00000 -62.12025
58084 6220.00000 -62.12012
58084 6230.00000 -62.11999
58084 6240.00000 -62.11986
58084 6250.00000 -62.11973
58084 6260.00000 -62.11960
58084 6270.00000 -62.11948
58084 6280.00000 -62.11935
58084 6290.00000 -62.11922
58084 6300.00000 -62.11910
58084 6310.00000 -62.11898
58084 6320.00000 -62.11885
58084 6330.00000 -62.11873
58084 6340.00000 -62.11861
58084 6350.00000 -62.11850
58084 6360.00000 -62.11838
58084 6370.00000 -62.11826
58084 6380.00000 -62.11815
58084 6390.00000 -62.11804
58084 6400.00000 -62.11792
58084 6410.00000 -62.11781
58084 6420.00000 -62.11771
58084 6430.00000 -62.11760
58084 6440.00000 -62.11750
58084 6450.00000 -62.11739
58084 6460.00000 -62.11729
58084 6470.00000 -62.11719
58084 6480.00000 -62.11710
58084 6490.00000 -62.11700
58084 6500.00000 -62.11691
58084 6510.00000 -62.11682
58084 6520.00000 -62.11673
58084 6530.00000 -62.11664
58084 6540.00000 -62.11655
58084 6550.00000 -62.11647
58084 6560.00000 -62.11639
58084 6570.00000 -62.11631
58084 6580.00000 -62.11624
58084 6590.00000 -62.11616
58084 6600.00000 -62.11609
58084 6610.00000 -62.11602
58084 6620.00000 -62.11596
58084 6630.00000 -62.11589
58084 6640.00000 -62.11583
58084 6650.00000 -62.11577
58084 6660.00000 -62.11572
58084 6670.00000 -62.11566
58084 6680.00000 -62.11561
58084 6690.00000 -62.11556
58084 6700.00000 -62.11551
58084 6710.00000 -62.11547
58084 6720.00000 -62.11543
58084 6730.00000 -62.11539
58084 6740.00000 -62.11535
58084 6750.00000 -62.11532
58084 6760.00000 -62.11529
58084 6770.00000 -62.11526
58084 6780.00000 -62.11524
58084 6790.00000 -62.11521
58084 6800.00000 -62.11519
58084 6810.00000 -62.11517
58084 6820.00000 -62.11516
58084 6830.00000 -62.11515
58084 6840.00000 -62.11514
58084 6850.00000 -62.11513
58084 6860.00000 -62.11513
58084 6870.00000 -62.11512
58084 6880.00000 -62.11512
58084 6890.00000 -62.11513
58084 6900.00000 -62.11513
58084 6910.00000 -62.11514
58084 6920.00000 -62.11515
58084 6930.00000 -62.11517
58084 6940.00000 -62.11518
58084 6950.00000 -62.11520
58084 6960.00000 -62.11522
58084 6970.00000 -62.11525
58084 6980.00000 -62.11527
58084 6990.00000 -62.11530
58084 7000.00000 -62.11533
58084 7010.00000 -62.11536
58084 7020.00000 -62.11540
58084 7030.00000 -62.11544
58084 7040.00000 -62.11548
58084 7050.00000 -62.11552
58084 7060.00000 -62.11556
58084 7070.00000 -62.11561
58084 7080.00000 -62.11566
58084 7090.00000 -62.11571
58084 7100.00000 -62.11576
